需求编号,需求描述,用例类型,导航,功能模块,功能点,优先级,用例标题,前置条件,操作步骤,预期结果,测试结果,执行人,测试环境,备注
9169,,功能,物资管理-其他入库单,其他入库单-新增,物料管理员新增其他入库单,L2,验证物料管理员新增其他入库单,"1.系统运行正常
2.使用物料管理员角色登陆系统",1.点击新增其他入库单,1.正常新增其他入库单,,冯云梦,UAT,
9169,,功能,物资管理-其他出库单,其他出库单,物料管理员查询、导出其他出库单,L3,验证物料管理员查询、导出其他出库单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询其他出库单
2.点击重置查询条件
3.点击导出按钮","1.正常查询出符合查询条件的其他出库单
2.正常清空查询条件，并查询出所有的其他出库单数据
3.正常导出符合查询条件的其他出库单数据",,冯云梦,UAT,
9169,,功能,物资管理-其他出库单,其他出库单-新增,物料管理员新增其他出库单,L2,验证物料管理员新增其他出库单,"1.系统运行正常
2.使用物料管理员角色登陆系统",1.点击新增其他出库单,1.正常新增其他出库单,,冯云梦,UAT,
9169,,功能,物资管理-物资领用出库单,物资领用出库单,物料管理员查询、导出物资领用出库单,L3,验证物料管理员查询、导出物资领用出库单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询物资领用出库单
2.点击重置查询条件
3.点击导出按钮","1.正常查询出符合查询条件的物资领用出库单
2.正常清空查询条件，并查询出所有的物资领用出库单数据
3.正常导出符合查询条件的物资领用出库单数据",,冯云梦,UAT,
9169,,功能,物资管理-物资领用出库单,物资领用出库单-新增,物料管理员新增物资领用出库单,L2,验证物料管理员新增物资领用出库单,"1.系统运行正常
2.使用物料管理员角色登陆系统",1.点击新增物资领用出库单,1.正常新增物资领用出库单,,冯云梦,UAT,
9169,,功能,物资管理-接收直发单,接收直发单,物料管理员查询、导出，同步接收直发单,L3,验证物料管理员查询、导出，同步接收直发单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询接收直发单
2.点击重置查询条件
3.点击导出按钮
4.点击同步接收直发单","1.正常查询出符合查询条件的接收直发单
2.正常清空查询条件，并查询出所有的接收直发单数据
3.正常导出符合查询条件的接收直发单数据
4.正常同步所选的项目下的接收直发单",,冯云梦,UAT,
9587,"【需求背景】设备串号APP端列表查询、设备串号PC端列表查询、物资货码查询功能未接入数据权限，难以查询全省数据。
【需求描述】设备串号APP端列表查询、设备串号PC端列表查询、物资货码查询功能需要接入数据权限。
【方案简述】设备串号APP端列表查询（SBCHAPP）、设备串号PC端列表查询（SBCHPC）、物资货码查询（SCMSN）功能需要接入基础服务数据权限。",功能,物资管理-物资货码查询,物资货码查询,全国权限用户查看物资货码查询,L2,验证全国权限用户查看物资货码查询,"1.系统运行正常
2.使用全国权限的用户登陆系统",1.点击查询物资货码数据,1.正常查询出全国的物资货码数据,,冯云梦,UAT,
9587,,功能,物资管理-物资货码查询,物资货码查询,省公司权限用户查看物资货码查询,L2,验证省公司权限用户查看物资货码查询,"1.系统运行正常
2.使用省公司权限的用户登陆系统",1.点击查询物资货码数据,1.正常查询出配置的对应省公司的物资货码数据,,冯云梦,UAT,
9587,,功能,物资管理-物资货码查询,物资货码查询,省本部权限用户查看物资货码查询,L2,验证省本部权限用户查看物资货码查询,"1.系统运行正常
2.使用省本部权限的用户登陆系统",1.点击查询物资货码数据,1.正常查询出配置的对应省本部的物资货码数据,,冯云梦,UAT,
9587,,功能,物资管理-物资货码查询,物资货码查询,地市公司权限用户查看物资货码查询,L2,验证地市公司权限用户查看物资货码查询,"1.系统运行正常
2.使用地市公司权限的用户登陆系统",1.点击查询物资货码数据,1.正常查询出配置的对应地市公司的物资货码数据,,冯云梦,UAT,
9587,,功能,查询-设备串号查询,设备串号查询,全国权限用户查看设备串号查询,L2,验证全国权限用户查看设备串号查询,"1.系统运行正常
2.使用全国权限的用户登陆系统",1.点击查询设备串号数据,1.正常查询出全国的设备串号数据,,冯云梦,UAT,
9587,,功能,查询-设备串号查询,设备串号查询,省公司权限用户查看设备串号查询,L2,验证省公司权限用户查看设备串号查询,"1.系统运行正常
2.使用省公司权限的用户登陆系统",1.点击查询设备串号数据,1.正常查询出配置的对应省公司的设备串号数据,,冯云梦,UAT,
9587,,功能,查询-设备串号查询,设备串号查询,省本部权限用户查看设备串号查询,L2,验证省本部权限用户查看设备串号查询,"1.系统运行正常
2.使用省本部权限的用户登陆系统",1.点击查询设备串号数据,1.正常查询出配置的对应省本部的设备串号数据,,冯云梦,UAT,
9587,,功能,查询-设备串号查询,设备串号查询,地市公司权限用户查看设备串号查询,L2,验证地市公司权限用户查看设备串号查询,"1.系统运行正常
2.使用地市公司权限的用户登陆系统",1.点击查询设备串号数据,1.正常查询出配置的对应地市公司的设备串号数据,,冯云梦,UAT,
8898,"需求背景：统一列表页面UIUE规范
需求描述：统一列表页面规范
方案描述：根据UIUE规范，调整系统列表页面的样式，详见UIUE优化内容清单列表页部分。",UIUE,物资管理-pms领料申请单,pms领料申请单列表查询条件,每行的输入框为3个，文字不换行，右对齐,L3,验证每行的输入框为3个，文字不换行，右对齐,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,每行的输入框为3个，文字不换行，右对齐,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表查询条件,"条件文字后需添加冒号"":""",L3,"验证条件文字后需添加冒号"":""","1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,"条件文字后需添加冒号"":""",通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表查询条件,输入框默认提示请输入，下拉框默认提示请选择,L3,验证输入框默认提示请输入，下拉框默认提示请选择,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,输入框默认提示请输入，下拉框默认提示请选择,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表查询条件,下拉框选择后鼠标移上去要显示清空按钮【X】,L3,验证下拉框选择后鼠标移上去要显示清空按钮【X】,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,下拉框选择后鼠标移上去要显示清空按钮【X】,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表查询条件,查询、重置按钮统一放搜索框右下角，右对齐,L3,验证查询、重置按钮统一放搜索框右下角，右对齐,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,查询、重置按钮统一放搜索框右下角，右对齐,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表查询条件,查询按钮统一叫查询，不叫搜索,L3,验证查询按钮统一叫查询，不叫搜索,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,查询按钮统一叫查询，不叫搜索,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表查询条件,所有输入框支持回车搜索,L3,验证所有输入框支持回车搜索,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,所有输入框支持回车搜索,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表查询条件,根据实际场景增加最大字符限制,L3,验证根据实际场景增加最大字符限制,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,根据实际场景增加最大字符限制,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表查询条件,日期选择框统一,L3,验证日期选择框统一,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,日期选择框统一,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表表格,标题左上角展示,L3,验证标题左上角展示,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,标题左上角展示,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表表格,表格操作按钮右上角，和表格右对齐,L3,验证表格操作按钮右上角，和表格右对齐,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,表格操作按钮右上角，和表格右对齐,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表表格,关键信息要显示全称，如项目名称、项目编码、任务名称、任务编码、方案名称等,L3,验证关键信息要显示全称，如项目名称、项目编码、任务名称、任务编码、方案名称等,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,关键信息要显示全称，如项目名称、项目编码、任务名称、任务编码、方案名称等,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表表格,表格列宽调整，重要字段尽量完整展示，有些字段不用展示那个长，比如年份,L3,验证表格列宽调整，重要字段尽量完整展示，有些字段不用展示那个长，比如年份,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,表格列宽调整，重要字段尽量完整展示，有些字段不用展示那个长，比如年份,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表表格,文字超链接：各页面表单中的标题、名称统⼀⽀持超链接，单击标题可跳转⾄对应⻚⾯,L3,验证文字超链接：各页面表单中的标题、名称统⼀⽀持超链接，单击标题可跳转⾄对应⻚⾯,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,文字超链接：各页面表单中的标题、名称统⼀⽀持超链接，单击标题可跳转⾄对应⻚⾯,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表表格,列表查询页面，加入“共多少条”的统计,L3,验证列表查询页面，加入“共多少条”的统计,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,列表查询页面，加入“共多少条”的统计,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表表格,支持点击行选中,L3,验证支持点击行选中,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,支持点击行选中,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表表格,列表过长，滑动时关键列固定,L3,验证列表过长，滑动时关键列固定,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,列表过长，滑动时关键列固定,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表表格,单元格点击扩大点击范围，而不是只能点击文字,L3,验证单元格点击扩大点击范围，而不是只能点击文字,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,单元格点击扩大点击范围，而不是只能点击文字,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表表格,操作按钮统一放到表格第一列,L3,验证操作按钮统一放到表格第一列,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,操作按钮统一放到表格第一列,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表表格,列表标题⼀般不能过⻓，不超过8个字最佳，并且标题尽量不要换⾏显示，必须换⾏时不超过两⾏，如表格⼀屏显示不下可滑动显示。,L3,验证列表标题⼀般不能过⻓，不超过8个字最佳，并且标题尽量不要换⾏显示，必须换⾏时不超过两⾏，如表格⼀屏显示不下可滑动显示。,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,列表标题⼀般不能过⻓，不超过8个字最佳，并且标题尽量不要换⾏显示，必须换⾏时不超过两⾏，如表格⼀屏显示不下可滑动显示。,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表表格,列表的⼀般内容为居中对⻬；操作列居中对⻬；⾦额类数字右对⻬；对于字数不可控的名称⼀般为左对⻬,L3,验证列表的⼀般内容为居中对⻬；操作列居中对⻬；⾦额类数字右对⻬；对于字数不可控的名称⼀般为左对⻬,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,列表的⼀般内容为居中对⻬；操作列居中对⻬；⾦额类数字右对⻬；对于字数不可控的名称⼀般为左对⻬,通过,冯云梦,UAT,
8898,,UIUE,物资管理-pms领料申请单,pms领料申请单列表导出,附件大小超过1M的都按M显示,L3,验证附件大小超过1M的都按M显示,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入PMS领料申请单列表查询,附件大小超过1M的都按M显示,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表查询条件,每行的输入框为3个，文字不换行，右对齐,L3,验证每行的输入框为3个，文字不换行，右对齐,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,每行的输入框为3个，文字不换行，右对齐,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表查询条件,"条件文字后需添加冒号"":""",L3,"验证条件文字后需添加冒号"":""","1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,"条件文字后需添加冒号"":""",通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表查询条件,输入框默认提示请输入，下拉框默认提示请选择,L3,验证输入框默认提示请输入，下拉框默认提示请选择,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,输入框默认提示请输入，下拉框默认提示请选择,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表查询条件,下拉框选择后鼠标移上去要显示清空按钮【X】,L3,验证下拉框选择后鼠标移上去要显示清空按钮【X】,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,下拉框选择后鼠标移上去要显示清空按钮【X】,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表查询条件,查询、重置按钮统一放搜索框右下角，右对齐,L3,验证查询、重置按钮统一放搜索框右下角，右对齐,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,查询、重置按钮统一放搜索框右下角，右对齐,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表查询条件,查询按钮统一叫查询，不叫搜索,L3,验证查询按钮统一叫查询，不叫搜索,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,查询按钮统一叫查询，不叫搜索,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表查询条件,所有输入框支持回车搜索,L3,验证所有输入框支持回车搜索,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,所有输入框支持回车搜索,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表查询条件,根据实际场景增加最大字符限制,L3,验证根据实际场景增加最大字符限制,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,根据实际场景增加最大字符限制,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表查询条件,日期选择框统一,L3,验证日期选择框统一,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,日期选择框统一,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表表格,标题左上角展示,L3,验证标题左上角展示,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,标题左上角展示,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表表格,表格操作按钮右上角，和表格右对齐,L3,验证表格操作按钮右上角，和表格右对齐,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,表格操作按钮右上角，和表格右对齐,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表表格,关键信息要显示全称，如项目名称、项目编码、任务名称、任务编码、方案名称等,L3,验证关键信息要显示全称，如项目名称、项目编码、任务名称、任务编码、方案名称等,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,关键信息要显示全称，如项目名称、项目编码、任务名称、任务编码、方案名称等,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表表格,表格列宽调整，重要字段尽量完整展示，有些字段不用展示那个长，比如年份,L3,验证表格列宽调整，重要字段尽量完整展示，有些字段不用展示那个长，比如年份,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,表格列宽调整，重要字段尽量完整展示，有些字段不用展示那个长，比如年份,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表表格,文字超链接：各页面表单中的标题、名称统⼀⽀持超链接，单击标题可跳转⾄对应⻚⾯,L3,验证文字超链接：各页面表单中的标题、名称统⼀⽀持超链接，单击标题可跳转⾄对应⻚⾯,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,文字超链接：各页面表单中的标题、名称统⼀⽀持超链接，单击标题可跳转⾄对应⻚⾯,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表表格,列表查询页面，加入“共多少条”的统计,L3,验证列表查询页面，加入“共多少条”的统计,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,列表查询页面，加入“共多少条”的统计,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表表格,支持点击行选中,L3,验证支持点击行选中,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,支持点击行选中,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表表格,列表过长，滑动时关键列固定,L3,验证列表过长，滑动时关键列固定,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,列表过长，滑动时关键列固定,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表表格,单元格点击扩大点击范围，而不是只能点击文字,L3,验证单元格点击扩大点击范围，而不是只能点击文字,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,单元格点击扩大点击范围，而不是只能点击文字,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表表格,操作按钮统一放到表格第一列,L3,验证操作按钮统一放到表格第一列,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,操作按钮统一放到表格第一列,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表表格,列表标题⼀般不能过⻓，不超过8个字最佳，并且标题尽量不要换⾏显示，必须换⾏时不超过两⾏，如表格⼀屏显示不下可滑动显示。,L3,验证列表标题⼀般不能过⻓，不超过8个字最佳，并且标题尽量不要换⾏显示，必须换⾏时不超过两⾏，如表格⼀屏显示不下可滑动显示。,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,列表标题⼀般不能过⻓，不超过8个字最佳，并且标题尽量不要换⾏显示，必须换⾏时不超过两⾏，如表格⼀屏显示不下可滑动显示。,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单列表表格,列表的⼀般内容为居中对⻬；操作列居中对⻬；⾦额类数字右对⻬；对于字数不可控的名称⼀般为左对⻬,L3,验证列表的⼀般内容为居中对⻬；操作列居中对⻬；⾦额类数字右对⻬；对于字数不可控的名称⼀般为左对⻬,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,列表的⼀般内容为居中对⻬；操作列居中对⻬；⾦额类数字右对⻬；对于字数不可控的名称⼀般为左对⻬,通过,冯云梦,UAT,
8898,,UIUE,物资管理-物资申领单,物资申领单下载PDF文件,附件大小超过1M的都按M显示,L3,验证附件大小超过1M的都按M显示,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入物资申领单列表查询,附件大小超过1M的都按M显示,通过,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表查询条件,每行的输入框为3个，文字不换行，右对齐,L3,验证每行的输入框为3个，文字不换行，右对齐,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,每行的输入框为3个，文字不换行，右对齐,通过,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表查询条件,"条件文字后需添加冒号"":""",L3,"验证条件文字后需添加冒号"":""","1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,"条件文字后需添加冒号"":""",通过,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表查询条件,输入框默认提示请输入，下拉框默认提示请选择,L3,验证输入框默认提示请输入，下拉框默认提示请选择,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,输入框默认提示请输入，下拉框默认提示请选择,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表查询条件,下拉框选择后鼠标移上去要显示清空按钮【X】,L3,验证下拉框选择后鼠标移上去要显示清空按钮【X】,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,下拉框选择后鼠标移上去要显示清空按钮【X】,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表查询条件,查询、重置按钮统一放搜索框右下角，右对齐,L3,验证查询、重置按钮统一放搜索框右下角，右对齐,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,查询、重置按钮统一放搜索框右下角，右对齐,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表查询条件,查询按钮统一叫查询，不叫搜索,L3,验证查询按钮统一叫查询，不叫搜索,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,查询按钮统一叫查询，不叫搜索,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表查询条件,所有输入框支持回车搜索,L3,验证所有输入框支持回车搜索,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,所有输入框支持回车搜索,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表查询条件,根据实际场景增加最大字符限制,L3,验证根据实际场景增加最大字符限制,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,根据实际场景增加最大字符限制,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表查询条件,日期选择框统一,L3,验证日期选择框统一,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,日期选择框统一,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表表格,标题左上角展示,L3,验证标题左上角展示,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,标题左上角展示,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表表格,表格操作按钮右上角，和表格右对齐,L3,验证表格操作按钮右上角，和表格右对齐,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,表格操作按钮右上角，和表格右对齐,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表表格,关键信息要显示全称，如项目名称、项目编码、任务名称、任务编码、方案名称等,L3,验证关键信息要显示全称，如项目名称、项目编码、任务名称、任务编码、方案名称等,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,关键信息要显示全称，如项目名称、项目编码、任务名称、任务编码、方案名称等,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表表格,表格列宽调整，重要字段尽量完整展示，有些字段不用展示那个长，比如年份,L3,验证表格列宽调整，重要字段尽量完整展示，有些字段不用展示那个长，比如年份,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,表格列宽调整，重要字段尽量完整展示，有些字段不用展示那个长，比如年份,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表表格,文字超链接：各页面表单中的标题、名称统⼀⽀持超链接，单击标题可跳转⾄对应⻚⾯,L3,验证文字超链接：各页面表单中的标题、名称统⼀⽀持超链接，单击标题可跳转⾄对应⻚⾯,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,文字超链接：各页面表单中的标题、名称统⼀⽀持超链接，单击标题可跳转⾄对应⻚⾯,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表表格,列表查询页面，加入“共多少条”的统计,L3,验证列表查询页面，加入“共多少条”的统计,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,列表查询页面，加入“共多少条”的统计,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表表格,支持点击行选中,L3,验证支持点击行选中,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,支持点击行选中,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表表格,列表过长，滑动时关键列固定,L3,验证列表过长，滑动时关键列固定,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,列表过长，滑动时关键列固定,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表表格,单元格点击扩大点击范围，而不是只能点击文字,L3,验证单元格点击扩大点击范围，而不是只能点击文字,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,单元格点击扩大点击范围，而不是只能点击文字,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表表格,操作按钮统一放到表格第一列,L3,验证操作按钮统一放到表格第一列,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,操作按钮统一放到表格第一列,,冯云梦,UAT,
8898,,UIUE,物资管理-scm领料申请单,SCM领料申请单列表表格,列表标题⼀般不能过⻓，不超过8个字最佳，并且标题尽量不要换⾏显示，必须换⾏时不超过两⾏，如表格⼀屏显示不下可滑动显示。,L3,验证列表标题⼀般不能过⻓，不超过8个字最佳，并且标题尽量不要换⾏显示，必须换⾏时不超过两⾏，如表格⼀屏显示不下可滑动显示。,"1.系统运行正常
2.分别使用IE，谷歌，cmcc浏览器验证",1.点击进入SCM领料申请单列表查询,列表标题⼀般不能过⻓，不超过8个字最佳，并且标题尽量不要换⾏显示，必须换⾏时不超过两⾏，如表格⼀屏显示不下可滑动显示。,,冯云梦,UAT,
