需求编号,需求描述,用例类型,功能模块,导航,功能点,优先级,用例标题,前置条件,操作步骤,预期结果,测试结果,执行人,测试环境,备注,运营平台需求编号
8925,,流程,份额变更查询,项目采购-份额变更查询,逆向流程,L1,验证单据逆向流程正常,"1、系统运行正常
2、用户有新增份额权限","1、新增份额发起审批
2、审批人驳回后给发起人，重新提交审批到单据结束",1、流程正常,通过,王贝妮,UAT,,
技术优化11,"【背景】：辽宁存在项目采购-份额管理-份额信息明细中，订单创建信息界面，“专业”处不填选专业，手工新增非三费订单时订单明细中工程管理专业为空，提交订单报错。

【方案】：手工新增非三费订单时，订单明细中工程管理专业取任务编码对应的项目管理专业名称，如果没有查找到，取项目编码对应的项目管理专业名称",功能,服务订单草稿,项目采购-服务订单草稿,字段,L3,验证订单明细中工程管理专业取任务编码对应的项目管理专业名称,"1、系统运行正常
2、项目采购-份额管理-份额信息明细“专业”处为空
3、任务有对应的项目管理专业",1、手工新增非三费订单，选择任务,1、订单明细中工程管理专业取任务编码对应的项目管理专业名称,通过,王贝妮,UAT,,XQ-W-CPMS-LN-20230717-0002
技术优化11,"【背景】：辽宁存在项目采购-份额管理-份额信息明细中，订单创建信息界面，“专业”处不填选专业，手工新增非三费订单时订单明细中工程管理专业为空，提交订单报错。

【方案】：手工新增非三费订单时，订单明细中工程管理专业取任务编码对应的项目管理专业名称，如果没有查找到，取项目编码对应的项目管理专业名称",功能,服务订单草稿,项目采购-服务订单草稿,字段,L3,验证订单明细中工程管理专业取项目编码对应的项目管理专业名称,"1、系统运行正常
2、项目采购-份额管理-份额信息明细“专业”处为空
3、任务没有对应的项目管理专业",1、手工新增非三费订单，选择任务,1、订单明细中工程管理专业取项目编码对应的项目管理专业名称,通过,王贝妮,UAT,,XQ-W-CPMS-LN-20230717-0002
技术优化4,"【背景】配合基础服务相关
目前出现个别待办待阅无法在门户查询到，原因为portalType字段为空导致。目前组件有兜底策略为如果portyType为空，则根据ApproveLoginName计算portyType，但是目前也有ApproveLoginName为空进而导致组件兜底策略失效的，故此需要各服务进行如下检查。

1、调用组件相关接口的时候是否正确传递了portyType，内部用户传递为in  外部用户传递为out
2、针对直接操作待办表的检查ApproveLoginName是否传递了，ApproveLoginName为待办持有人账号
3、以上包括待办、已办、待阅、已阅
4、如果涉及改造需要在V3.3迭代之前更改完成，并在尽快对历史的错误数据进行修正，且每天对新产生的错误数据进行修正",流程,服务订单草稿,项目采购-服务订单草稿,待办,L1,验证订单待办、已办正常显示,"1、系统运行正常
2、启用订单审批流程","1、发起订单审批
2、依次提交审批到单据结束
3、查看待办已办显示","1、流程正常
2、待办已办显示正常",通过,王贝妮,UAT,,
技术优化4,,流程,份额变更查询,项目采购-份额变更查询,待办,L1,验证新增份额单据待办、已办正常显示,1、系统运行正常,"1、新增份额，发起审批
2、依次提交审批到单据结束
3、查看待办已办显示","1、流程正常
2、待办已办显示正常",通过,王贝妮,UAT,,
技术优化18,"【背景】目前生产环境浙江出现：工单号WT-W-CPMS-YWCS-20230725-696撤销份额不是有效份额的问题；
经过排查目前关于份额的释放逻辑现状逻辑底层逻辑是按照
1 deleteFlag 为 0
2. shareStatus 已生效(审批完成)"", ""3
3. effectiveFlag EFFECTIVE_FLAG_Y(""有效"",""Y"")
4.activeStatus ""有效"",""1"") 
【方案描述】
需要改造成按照
1. deleteFlag 为 0
2. shareStatus 已生效(审批完成)"", 
3. effectiveFlag EFFECTIVE_FLAG_Y(""有效"",""Y"")
三个逻辑，
变化点释放的时候： 没有activeStatus ""有效"",""1"") ，
相关涉及到 
1.份额释放 （派工 出池 订单 修改单）
2.派工撤销 任务终止 （份额释放）
3.份额变更 （份额释放） 三个相关份额调整的功能；",功能,份额执行情况统计,项目采购-份额执行情况统计,份额释放,L2,验证派工单据驳回后，份额会被释放,1、系统运行正常,"1、发起设计派工流程
2、单据驳回给发起人","1、份额被占用
2、份额被释放",通过,杨昊/杨玲,UAT,,WT-W-CPMS-YWCS-20230725-696
技术优化18,,功能,份额执行情况统计,项目采购-份额执行情况统计,份额释放,L2,验证派工撤销审批完成后，份额会被释放,"1、系统运行正常
2、存在已派工的单据",1、发起派工撤销到单据结束,1、份额被释放,通过,杨昊/杨玲,UAT,,WT-W-CPMS-YWCS-20230725-696
技术优化18,,功能,份额执行情况统计,项目采购-份额执行情况统计,份额释放,L2,验证任务终止审批完成后，份额会被释放,"1、系统运行正常
2、存在已派工的单据",1、发起任务终止到单据结束,1、份额被释放,通过,杨昊/杨玲,UAT,,WT-W-CPMS-YWCS-20230725-696
技术优化18,,功能,份额执行情况统计,项目采购-份额执行情况统计,份额释放,L2,验证份额变更审批完成后，原份额会被释放,"1、系统运行正常
2、存在已派工的单据",1、发起份额变更到单据结束,1、原份额被释放，变更后份额被占用,通过,杨昊/杨玲,UAT,,WT-W-CPMS-YWCS-20230725-696
技术优化21,"【背景】提交scm后报错：采购员所在公司与OU组织所在公司不匹配，采购员公司: 山东省公司，OU组织所在公司: OU SD 303230德州分公司。
【方案】由于该用户存在两个账号，但是所属公司不同，应该用采购员的用户id去基础服务查询用户信息，而不是利用用户编号查询用户信息
【工单号】WT-W-CPMS-SD-20230725-1300",功能,服务订单草稿,项目采购-服务订单草稿,字段,L3,验证发起订单，采购员所在公司与OU组织相匹配,1、系统运行正常,1、新增订单，选择采购员,1、OU组织带出所选择采购员的ou组织,通过,杨昊/杨玲,UAT,,WT-W-CPMS-SD-20230725-1300
